,company,datePublished,author,headline,description,articleBody,tags,url
0,VLF,2021-01-05T13:28:03+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Videocon Industries lenders, 12 other group companies to meet today under IRP","&amp;quot;The 20th meeting of the consolidated committee of creditors (CoC) of Videocon Industries Ltd and other 12 Videocon group companies, having a consolidated corporate insolvency resolution process, is scheduled to be held on Tuesday, January 5,&rdquo; the firm said in a regulatory filing.","The lenders of debt-ridden Videocon Industries and 12 other group companies will meet on Tuesday under the insolvency resolution process (IRP).  &amp;quot;The 20th meeting of the consolidated committee of creditors (CoC) of Videocon Industries Ltd and other 12 Videocon group companies, having a consolidated corporate insolvency resolution process, is scheduled to be held on Tuesday, January 5,&rdquo; the firm said in a regulatory filing.  This is in accordance with the provisions of Regulation 19 of the Insolvency and Bankruptcy Board of India (Insolvency Resolution Process for Corporate Persons) Regulations, 2016, it added.  Last month, the lenders of Videocon Industries had approved the bid by Twin Star Technologies, promoted by billionaire Anil Agarwal''s family, under the insolvency resolution process of the debt-ridden firm.  The company, however, did not elaborate on the agenda of the meeting of the consolidated CoC.  On December 16, Videocon Industries in a regulatory informed that the CoC of the company had voted in favour of the resolution plan of Twin Star Technologies, for 13 group companies with 95 per cent votes.  However, the filing did not mention the amount which Twin Star Technologies had offered.  The said resolution plan, as approved by the CoC, has been filed with the National Company Law Tribunal, Mumbai in accordance with the Section 30(6) of the Code for its approval on December 15, 2020, it added.  Videocon Industries owes around Rs 31,000 crore to the banks, which also includes interests.  Earlier, the Dhoot family had offered to pay Rs 30,000 crore to lenders to settle their outstanding loans and pull out 13 Videocon group companies from the insolvency proceedings.  A proposal for paying the amount was forwarded to the CoC of the Videocon Industries, under section 12 A of the Insolvency &amp;amp;amp; Bankruptcy Code (IBC).  However, the creditors have chosen Vedanta Group''s offer, which has placed its resolution plan through one of its subsidiary companies.  Vedanta''s interest in Videocon is principally driven by the latter''s 25 per cent stake in the Ravva oil field.  Vedanta, through Cairn, holds 22.5 per cent stake in Ravva and any successful bid by Vedanta will take its stake to 47.5 per cent, and it will be the biggest stakeholder ahead of ONGC''s 40 per cent.  The average output from the Ravva block in 2019-20 was 14,232 barrels of oil equivalent per day (boepd), and it increased to 22,037 boepd in the first quarter of 2020-21.  Dhoot''s settlement offer was made for 13 out of the 15 Videocon group companies, which are jointly going through the Corporate Insolvency Resolution Process (CIRP).  Two group companies -- KAIL and TREND -- were not covered under the offer.","Business, Companies",https://www.moneycontrol.com//news/business/videocon-industries-lenders-12-other-group-companies-to-meet-today-under-irp_14638161.html
1,VLF,2020-02-14T14:40:06+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",NCLT orders inclusion of Videocon's overseas assets in bankruptcy process,Videocon was in the first list of the 12 largest accounts that the Reserve Bank of India referred for bankruptcy in late 2016. The diversified group owes collectively over Rs 1 lakh crore to lenders.,"The National Company Law Tribunal (NCLT) has ordered the inclusion of Videocon Industries' overseas oil and gas business in the ongoing insolvency process being conducted in the country.  Videocon was in the first list of the 12 largest accounts that the Reserve Bank of India referred for bankruptcy in late 2016. The diversified group owes collectively over Rs 1 lakh crore to lenders.  &amp;quot;&hellip;..there is cross creation of the security interest by all lenders in other business assets of Videocon Group treating it as a single economic entity,&amp;quot; NCLT has said.  &amp;quot;... we have concluded that foreign oil and gas assets of the group held through VOVL, VHHL, VEBL and VINI, are in fact, the assets and property of VIL&hellip;. Therefore, the assets held by them can be said to be 'its' assets, which is under the insolvency,&amp;quot; the order noted.  VIL's overseas oil and gas companies are VOVL Ltd, Videocon Hydrocarbon Holdings Ltd (VHHL), Videocon Energy Brasil Ltd (VEBL), Videocon Indonesia Nunukan Inc (VINI).  The tribunal also directed the resolution professional (RP) to include the assets, liabilities, claims of the above mentioned overseas assets/companies in the information memorandum of Videocon Industries.  The two-member bench comprising Suchitra Kanuparthi and Chandra Bhan Singh allowed a moratorium on the foreign petroleum assets of the group which will restrain its lenders from selling the conglomerate's overseas assets.  In addition, the order cited that since some time has passed in deciding the application, the time spent in deciding this application from August 22, 2019 until the date of the order, is added in the permitted timeline for the completion of the ongoing insolvency process.  Venugopal Dhoot had moved NCLT after State Bank of India invited bids in August 2019 for the group's overseas assets, which were offered as collateral for loans to Videocon entities.  The proposed sale was outside the insolvency process of group entities, and lenders, including SBI, had opposed Dhoot's plea.  Dhoot opposed the sale on the grounds that they belonged to Videocon Industries' overseas arms, which were set up as special purpose vehicles to act as trustee and hold the assets on behalf of the parent.  Videocon Industries had jointly applied for acquisition and extended payments for acquisition of overseas assets in 2007.  Lenders opposed Dhoot's application citing that the overseas subsidiaries were the owners of the oil and gas assets. They said Videocon Industries had no rights over the assets. SBI had argued that extension of moratorium to the overseas assets could delay recovery of money from sale of the assets.  Earlier, the NCLT had allowed consolidation of 13 of the 15 Videocon group companies into a single entity in August 2019, based on similarity in operations, debt repayment obligations, management, assets and liabilities and interlacing of financial structure among the Videocon entities.  The tribunal also allowed consolidation of overseas assets based on the same parameters which were framed by it during the consolidation of the insolvency proceedings.  The flagship Videocon Industries' debt stood at Rs 19,506 crore as of March 2018. The group is among the 40 largest defaulters identified by the Reserve Bank's first list for insolvency in late 2016.  The company has its core businesses in consumer electronics and oil &amp;amp;amp; gas exploration, while the subsidiaries are into manufacturing, sale and distribution of consumer goods.  The lenders plan to first auction the electronics business estimated to be worth USD 2 billion.","Business, Companies, NCLT, Videocon Industries",https://www.moneycontrol.com//news/business/nclt-orders-inclusionvideocon39s-overseas-assetsbankruptcy-process_13497621.html
2,VLF,2019-11-28T16:32:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Videocon case| ICICI Bank may file consent plea with SEBI: Report,This follows the reissuance of show-cause notice in November by the SEBI&rsquo;s newly appointed adjudicating officer was appointed by SEBI.,"ICICI Bank&nbsp;may file a consent plea with the Securities and Exchange Board of India (SEBI) in relation to allegations of disclosure violations by former CEO Chanda Kochhar in transactions with Videocon, Business Standard&nbsp;reported.  This follows the reissuance of show-cause notice in November by the SEBI&rsquo;s newly appointed adjudicating officer. A source told BS that ICICI Bank is looking to settle the matter via the consent route rather than contesting it, while also considering other legal options.  Moneycontrol could not independently verify the report.  A consent application allows the aggrieved party (the bank in this case) to settle, with a more lenient penalty and without any admission or denial of guilt. After the notice is served, the party has 60 days to file the plea, which in this case would expire in December.  The bank had until now denied all allegations in the matter, stating that it had been unaware of the alleged conflict of interest in the case. And while the plea does not indicate any admission of wrongdoing, it is, however, a departure from the private lender&rsquo;s previous position.  SEBI&rsquo;s notice is based on a preliminary report, wherein it concluded that there was a conflict of interest in the bank&rsquo;s transactions with Videocon. Chanda Kochhar&rsquo;s failure to disclose her husband&rsquo;s dealings with Videocon and her non-compliance with listing agreement prompted the regulator to begin proceedings.  ICICI Bank did not respond to the paper&rsquo;s queries.","Business, Companies, ICICI Bank, SEBI, Videocon case",https://www.moneycontrol.com//news/business/videocon-case|-icici-bank-may-file-consent-pleasebi-report_13225501.html
3,VLF,2019-04-05T10:19:38+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Videocon bankruptcy: Creditors stand to lose over Rs 90,000 crore",This would make Videocon the biggest corporate bankruptcy case in India's banking history,"Moneycontrol News  The Venugopal Dhoot-promoted Videocon Group owes over Rs 90,000 crore to various public and private sector banks. This would make Videocon the biggest corporate bankruptcy case in the Indian banking history, a report stated.  Videocon Industries&nbsp;(VIL) and Videocon Telecommunication (VTL), the two main group companies, owe lenders, led by State Bank of India (SBI), Rs 59,451.87 crore and Rs 26,673.81 crore, respectively, which adds up to a whopping Rs 86,125.68 crore.  VIL owes 54 creditors, with SBI's claim the highest at Rs 11,175.25 crore. Meanwhile, VTL owes 34 lenders, the biggest again being SBI&nbsp;at Rs 4,605 crore.  Apart from banks, 731 other operational creditors have made claims worth Rs 3,111.80 crore to VIL and Rs 1,267 crore VTL. This drives the total sum over Rs 90,000 crore, the sources said.  The group promoters&nbsp;-- Venugopal, Pradipkumar and Rajkumar Dhoot&nbsp;-- have filed separate claims of Rs 57,823.24 crore for personal guarantees they provided to VIL for various facilities availed. These are under evaluation. VTL has claimed Rs 1,786.95 crore from VIL.  After the introduction of Insolvency&nbsp;&amp;amp;amp; Bankruptcy Code (IBC) in India, this will be the biggest private sector bankruptcy in India and it may have a wide-ranging impact on the corporate and banking sector.  The company was sent to the National Company Law Tribunal (NCLT) in 2018 by SBI after the Dhoots defaulted on their loans. The board of directors of the company has been suspended and a resolution professional (RP) has been appointed to run the company's daily operations.  Earlier this year, the CBI had charged ICICI Bank&nbsp;Managing Director and CEO Chanda Kochhar, her husband Deepak Kochhar and Venugopal Dhoot, in a loan scam, criminal conspiracy and cheating. Kochhar quit from her position and the bank appointed a new COO, Sandeep Bakshi.","Business, Companies, ICICI Bank, SBI, video, Videocon",https://www.moneycontrol.com//news/business/videocon-bankruptcy-creditors-stand-to-lose-over-rs-90000-crore_12336661.html
4,VLF,2019-02-14T21:50:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Videocon Industries posts Rs 1,023 cr loss in Q3","The filing further said that manufacturing activity of Glass Shell division, which manufactures panels and funnels used in colour picture tube of colour television, has been suspended from July, 2017 due to poor demand. ","Debt-ridden Videocon Industries Thursday reported a net loss of Rs 1,023.08 crore for the third quarter of the current fiscal. The company had reported a net loss of Rs 1,314.96 crore in the year ago period.  Its total income fell sharply to Rs 223.73 crore during the October-December of 2018-19 from Rs 864.34 crore in the corresponding period previous year, the company said in a regulatory filing.  The filing further said that manufacturing activity of Glass Shell division, which manufactures panels and funnels used in colour picture tube of colour television, has been suspended from July, 2017 due to poor demand.  &amp;quot;However, the company has not assessed or reviewed the plant and machinery and other fixed assets related to the Glass Shell division for the impairment and the impairment loss, if any, has not been ascertained,&amp;quot; it added.  The company had written off certain loans and advances aggregating to Rs 1,413.35 crore during the nine months ended December, 2018.  Videocon's scrip closed at Rs 2.02 apiece on the BSE, down 1.46 per cent.","Business, Market news, Results, Videocon Industries",https://www.moneycontrol.com//news/business/videocon-industries-posts-rs-1023-cr-lossq3_12139461.html
5,VLF,2018-12-10T18:16:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","NSE issues notices to IL&amp;amp;FS Group firms, others for non-compliance with listing norms",These firms have not made required submissions to the exchange as per listing regulations within the prescribed time limit for the quarter ended September 2018.  ,"The National Stock Exchange (NSE) has imposed fines and issued notices to as many as 60 companies, including two IL&amp;amp;amp;FS group firms, Videocon Industries and Unitech, for non-compliance with listing regulations.  ABG Shipyard and Bharati Defence and Infrastructure are among the other entities, according to a communication.  The exchange would initiate further regulatory action on the companies, which could include suspension, if they do not comply with the requirement, it added.  These firms have not made required submissions to the exchange as per listing regulations within the prescribed time limit for the quarter ended September 2018.  In a communication to investors, the NSE said the &amp;quot;exchange has levied fines and also issued notices for such non-compliances to the companies.&amp;quot;  &amp;quot;The continued non-compliance of such regulations may lead to further regulatory action on the companies which may include suspension,&amp;quot; it said.  As per the NSE, IL&amp;amp;amp;FS group firms -- IL&amp;amp;amp;FS Engineering and Construction Company and IL&amp;amp;amp;FS Transportation Networks -- have not submitted filings of financial results for the three months ended September 30, 2018.  With regard to Unitech, the exchange said it has not complied with listing rules related to shareholding disclosures, annual report and information pertaining to reconciliation of share capital audit report.  Videocon Industries failed to adhere to listing rules related to shareholding disclosures as well as reconciliation of share capital audit report, as per the communication.  According to Sebi, stock exchanges can use imposition of fines as action of first resort in case of non-compliance with listing regulations including non-submission of financial results within the stipulated time period.  Further, exchanges can invoke suspension of trading in case of subsequent and consecutive defaults.  Sebi rules mandate the bourses to follow a system of uniform fine structure for non-compliance with listing norms and a standard operating procedure for suspension of specified securities.  As per the norms, exchanges can levy a penalty of Rs 5,000 per day on the entity for failure to file financial results, till the date of compliance. This fine is payable if it is the first case of such non-compliance by the company.  For each subsequent and consecutive non-compliance, exchanges can impose a fine of Rs 10,000 per day till the date of compliance.  If the violation continues for more than 15 days, additional fine of 0.1 percent of paid up capital of the entity or Rs 1 crore, whichever is less is imposed.","Business, ILFS, India, Market news, NSE, Unitech, Videocon",https://www.moneycontrol.com//news/business/nse-issues-notices-to-ilfs-group-firms-others-for-non-compliancelisting-norms_11825461.html
6,VLF,2018-09-27T10:44:37+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Haier, Blackstone, Goldman Sachs may bid for Videocon&rsquo;s electronics business; deal valued at $2bn",Suitors may be expected to put together a single resolution plan for all 15 entities subject to relevant approvals from the courts,"  Moneycontrol News  Global&nbsp;investment firms Blackstone and&nbsp;Goldman Sachs along with China's&nbsp;Haier are eyeing Videocon&rsquo;s consumer electronics business that is valued at $2 billion, The Economic Times&nbsp;reported .  The three suitors have reached out to Videocon&rsquo;s lenders and are considering making an offer to buy the firm's&nbsp;electronics business, which was formally put up for&nbsp;sale on September 25.  The investment firms may, however, consider teaming up with local business houses prior to placing binding bids, sources&nbsp;told the paper, adding that the final tally of suitors would be known after expressions of interests (EoI) are received in the first week of October.  Read: Bids invited for debt-ridden&nbsp;Videocon under insolvency resolution process  The firm's electronics business, which has sales of Rs 10,000-12,000 crore is distributed between as many as 15 legal entities of the Videocon Group. According to the report, suitors may be expected to put together a single resolution plan for all 15 entities, subject to relevant approvals from the courts.  Lenders are considering running a co-ordinated auction process for the sale of all the units by appointing a common adviser. This may help banks ensure that the timeline for circulation of proposals to prospective buyers and the receipt of final bids and resolution plans remain the same for all entities on the block.  The corporate insolvency resolution process (CIRP) of Videocon Industries, which has a debt of around Rs 20,000 crore, was commenced under the Insolvency&nbsp;&amp;amp;amp; Bankruptcy Code (IBC) following an order by the NCLT Mumbai on June 6.&nbsp;State Bank of India (SBI) had filed separate insolvency proceedings against Videocon Industries and Videocon Telecommunications.  In its heydays, Videocon was known for its consumer durables business. It then diversified into oil and gas,&nbsp;direct-to-home&nbsp;and telecom sectors, with the latter two ventures proving to be unsuccessful.  The company then sold its DTH business to Dish TV and telecom business to Airtel.  The Videocon Group is under investigation for alleged quid-pro-quo over Rs 3,250 crore loan by ICICI bank to it in 2012. The bank had also ordered an independent probe into allegations of 'conflict of interest' and 'quid pro quo' in bank's MD and CEO Chanda Kochhar's role.  &amp;amp;nbsp;  ","Blackstone, Business, Companies, Current Affairs, Goldman Sachs, Haier, ICICI Bank, India, State Bank of India, Videocon Group, Videocon Industries Limited",https://www.moneycontrol.com//news/business/haier-blackstone-goldman-sachs-may-bid-for-videoconâs-electronics-business-deal-valued-at-362bn_11472941.html
7,VLF,2018-09-25T16:47:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}",Bids invited for debt ridden Videocon under insolvency resolution process,"In the beginning of this year, the country's largest lender State Bank of India (SBI) had filed separate insolvency proceedings against Videocon Industries and Videocon Telecommunications Ltd.","Resolution professional of debt-ridden Videocon Industries&nbsp;on Tuesday invited bids from prospective buyers to take control of the firm, which has interest ranging from consumer electronics to oil and gas.  The corporate insolvency resolution process (CIRP) of Videocon Industries Ltd (VIL), which has debt of around Rs 20,000 crore, was commenced under the Insolvency and Bankruptcy Code (IBC) following an order by the NCLT Mumbai on June 6, 2018.  In a public announcement, VIL Resolution Professional (RP) Anuj Jain said insolvency resolution process in respect of 11 group companies of VIL has also commenced and for other four other entities, order is expected to be passed by the NCLT shortly.  In the beginning of this year, the country's largest lender State Bank of India (SBI) had filed separate insolvency proceedings against Videocon Industries and Videocon Telecommunications Ltd.  As per the criteria listed out by the RP, corporates, individuals or consortium of investors must have a minimum consolidated net worth of Rs 2,000 crore at group level in the immediately preceding financial years, and turnover of Rs 1,000 crore at group level during any one of the three immediately preceding financial years.  For financial institutions, PE funds, asset reconstruction companies, NBFCs, other financial investors, including consortium of investors, minimum asset under management must be Rs 2,000 crore in the immediately preceding financial year or committed funds available for deployment/ investment of at least Rs 2,000 crore as on March 31, 2018.  It would be mandatory for prospective resolution applicants to submit their bid before October 5, 2018, Jain said in the announcement.  The RP also said prospective bidders must have evidence to showcase experience in the running of large industrial businesses, preferably consumer electronics, and/or oil and gas during any three of the preceding financial years.  The bidders must also have the ability to turnaround large industrial business preferably consumer electronics business either directly or through joint venture.  In its heydays, Videocon was known for its consumer durables business. It then diversified into oil and gas, DTH and telecom sectors, with the latter two ventures proving to be unsuccessful.  The company then sold of its DTH business to Dish TV and telecom business to Airtel.  The Videocon Group is under investigation for alleged quid-pro-quo over Rs 3,250 crore loan by ICICI bank to it in 2012. The bank had also ordered an independent probe into allegations of 'conflict of interest' and 'quid pro quo' in bank's MD and CEO Chanda Kochhar's role.","Business, India, Videocon Industries",https://www.moneycontrol.com//news/business/bids-invited-for-debt-ridden-videocon-under-insolvency-resolution-process_11466441.html
8,VLF,2018-08-27T17:18:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Videocon Industries, Gemini Communication, 9 others to move to restricted trading segment from September 3","BSE and NSE have said in separate notices that PNB fraud accused Mehul Choksi's Gitanjali Gems, Amtek Auto and five other companies, which are already in the restricted trade or Z category for other violations.","As many as 11 companies including Videocon Industries and Gemini Communication will be shifted to the restricted trading category from September 3 for not complying with listing rules related to shareholding disclosures.  BSE and NSE have said in separate notices that PNB fraud accused Mehul Choksi's Gitanjali Gems, Amtek Auto and five other companies, which are already in the restricted trade or Z category for other violations, have also failed to comply with disclosure norms.  The move is part of the surveillance review to ensure market safety and safeguard interest of investors.  BSE will be shifting a total of 11 stocks Bilpower, Cals Refineries, Citizen Yarns, Gemini Communication, Grandma Trading &amp;amp;amp; Agencies, Jyoti Overseas, KGN Enterprises, KGN Industries, Layla Textile and Traders, Omega Ag-Seeds Punjab and Videocon Industries to the trade-to-trade or Z group segment.  Of these, the NSE has decided to transfer three common stocks Videocon Industries, Gemini Communication and Bilpower to the Z category.  In the trade-to-trade segment, no speculative trading is allowed and delivery of shares and payment of consideration amount are mandatory.  According to the exchanges, these 11 companies have not submitted the shareholding pattern report for two consecutive quarters March and June this year, violating Sebi's Listing Obligations and Disclosure Requirements (LODR) regulations.  &amp;quot;These scrips will be transferred to 'Z' group with effect from September 3, 2018,&amp;quot; they added.  The Z group includes companies that have failed to comply with the listing requirements or not resolved investor complaints or not made required arrangements with the depositories CDSL and NSDL for dematerialisation of their securities.  Earlier this month, the exchanges announced that they will suspend trading in shares of nine firms including Gitanjali Gems and Amtek Auto from September 10 for non submission of financial results for December 2017 and March 2018 quarters.","Business, Companies, Gemini Communication, India, Videocon Industries",https://www.moneycontrol.com//news/business/videocon-industries-gemini-communication-9-others-to-move-to-restricted-trading-segmentseptember-3_11347681.html
9,VLF,2018-08-14T17:12:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/pti-6883/', 'name': 'PTI'}","Videocon Industries' Q1 net loss widens to Rs 2,874 cr","Total income in the reported quarter stood at Rs 272.25 crore. It was Rs 1,642.11 crore in the year-ago quarter, Videocon Industries said in a BSE filing.","Videocon Industries' standalone net loss widened to Rs 2,874.21 crore for April-June 2018-19 as against a loss of Rs 885.82 crore in the year-ago period due to write off of certain loans and advances of Rs 1,413.35 crore.  Total income in the reported quarter stood at Rs 272.25 crore. It was Rs 1,642.11 crore in the year-ago quarter, Videocon Industries said in a BSE filing.  It said revenue from operations, part of total income, for April-June 2017 is inclusive of excise duty. Consequent to applicability of GST with effect from July 1, 2017, revenue from operations are shown net of GST.  The company said it has written off certain loans and advances aggregating to Rs 1,413.35 crore and the same is shown as exceptional items during the quarter.  The said exercise for other current assets is continuing, it added.  On June 6 this year, National Company Law Tribunal (NCLT), Mumbai bench, admitted a petition for initiating insolvency resolution process against the company under the Insolvency and Bankruptcy Code, 2016.  Shares of Videocon Industries settled 4.55 percent down at Rs 5.45 apiece on BSE.","BSE, earnings, Results, Videocon Industries",https://www.moneycontrol.com//news/results/videocon-industries39-q1-net-loss-widens-to-rs-2874-cr_11299721.html
