,company,datePublished,author,headline,description,articleBody,tags,url
0,W,2024-02-28T12:39:20+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Wipro slips 2% after Kotak Equities downgrades stock to 'sell', sees over 15% downside",The brokerage firm believes that the IT company's valuations are expensive,"Shares of IT major&nbsp;Wipro declined over 2 percent to Rs 520 per share on February 28 after analysts at Kotak Institutional Equities downgraded Wipro to 'sell' from 'reduce' with a target price of Rs 440 per share following the stock's sharp upmove in the last 3 months. The brokerage firm believes that the company's valuations are expensive.  The stock of Wipro has surged&nbsp;over 30&nbsp;percent in the past 3 months, as against 9 percent rise in the benchmark Sensex. Earlier, Wipro shares hit 52-week high of Rs 546 per share on February 19, 2024.  Follow our live blog for all the market action  &amp;quot;The stock is expensive at 21x FY26E earnings and trades at just 6-9 percent discount to Infosys and HCL Technologies despite weaker fundamentals.&nbsp;Wipro, on an average, has underperformed on revenue growth by ~5 percent versus Infosys&nbsp;and&nbsp;HCL Technologies on organic constant currency (cc) basis in the past 10 years,&amp;quot; analysts at Kotak wrote in a recent note.  Wipro faces multiple challenges, both internal and externa, said analysts, which have created&nbsp;headwinds to growth. Higher attrition in management personnel and muted mega deal announcements have been some key negatives. Apart from that, vertical have also struggled, notably manufacturing where peers have done much better.  That said, the brokerage firm underlined that some risks to their call included that since Wipro has higher exposure to consulting, it will be the first segment to recover.  ALSO READ:&nbsp;Wipro and Nokia launch joint 5G private wireless solution to scale digital transformation  &amp;quot;Wipro expects double-digit revenue growth in Capco, primarily driven by conversion of order book to revenues. The company had healthy wins over the past few quarters and most of these are short-cycle deals. A sharper-than-expected recovery can lead to revenue and EPS upgrades,&amp;quot; they added.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, IT stocks, Wipro",https://www.moneycontrol.com//news/buzzing-stocks/wipro-slips-2-after-kotak-equities-downgrades-stock-to-39sell39-sees-over-15-downside_17480601.html
1,W,2024-02-14T09:32:29+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}","Wipro acquires majority stake in Aggne Global for $66 mn, trades down 2%","The company currently acquiring 60 percent, with an option to purchase the remaining stake over a period of time.","Wipro&nbsp;shares shed 2 percent in the early trade on February 14&nbsp;after the company&nbsp;acquired the majority stake in insurtech firm Aggne Global Inc and its Hyderabad-based affiliate Aggne Global IT Services for $66 million.  At 9:23am, Wipro was quoting at Rs 500.00, down Rs 12.15, or 2.37 percent, on the BSE.  The company has picked up 60 percent stake with an option to purchase the rest over a period of time. With this investment, Wipro becomes a majority shareholder in Aggne, which brings to Wipro a highly sought-after and unique set of capabilities and Intellectual Property (IP) in the property and casualty (P&amp;amp;amp;C) insurance space.  The combined capabilities of Wipro and Aggne will help deliver enhanced value, faster speed-to-market, and differentiated services to clients in the P&amp;amp;amp;C sector. The transaction is expected to be completed at the latest by February 14.  Foreign research house Morgan Stanley has kept the 'underweight' rating on the stock with a target of Rs 460 per share. The research firm sees this as a tuck-in acquisition, expected to strengthen capabilities in insurance sector, particularly its P&amp;amp;amp;C core system implementation in area of duck creek.  Catch all market action in our live blog  In January, the company has signed a definitive agreement to subscribe for a 14 percent equity share in Huoban Energy 11, for Rs 3.17 crore.  The company had reported a 12 percent year-on-year (YoY) fall in net profit at Rs 2,694 crore for the third quarter of the current financial year, while its consolidated revenue came in at Rs 22,205 crore, down 4.4 percent.","Buzzing Stocks, Wipro",https://www.moneycontrol.com//news/buzzing-stocks/wipro-acquires-majority-stakeaggne-global-for-3666-mn-trades-down-2_17449701.html
2,W,2024-01-15T14:00:00+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Hold Wipro; target of Rs 530: Sharekhan,"Sharekhan recommended Hold rating on Wipro with a target price of Rs 530 in its research report dated January 12, 2024.","Sharekhan's research report on Wipro Wipro&rsquo;s Q3FY24 revenue stood at $2,656.6 million, down 1.7% q-o-q in CC but above our estimate of 2.5% q-o-q decline in CC owing to weakness in Communications, Manufacturing, Technology, Consumer, and BFSI verticals partially offset by growth in HealthCare and Energy &amp;amp;amp; Utilities. IT services margin declined 10bps q-o-q to 16%, beating our estimates of 15.4% despite wage hikes and furloughs. Total bookings stood at $3.8 billion while large deal TCV stood at $0.9 billion, down 8.3% y-o-y in CC. The company provided revenue growth guidance for IT services in the range of -1.5 to 0.5% in constant currency for Q4FY24 implying anticipation of improving demand environment.  Outlook In line with our sector upgrade, we have raised the target multiple for Wipro to factor in receding macro headwinds and better earnings visibility for FY25. However, we believe Wipro&rsquo;s earnings growth momentum would lag its Tier 1 peers. Hence, we maintain Hold on Wipro with revised price target (PT) of Rs. 530. At CMP, the stock trades at 20.5/17.7x its FY25/26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Wipro - 15012024 - khan","Hold, Recommendations, Sharekhan, Wipro",https://www.moneycontrol.com//news/recommendations/hold-wipro-targetrs-530-sharekhan_17399501.html
3,W,2024-01-15T12:22:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Wipro; target of Rs 505: YES Securities,"YES Securities recommended Neutral rating on Wipro with a target price of Rs 505 in its research report dated January 13, 2024.","YES Securities' research report on Wipro Wipro (WPRO) reported broadly inline financial performance for the quarter. The revenue growth was inline with expectation and EBIT margin slightly above expectation. The sequential growth was (1.5%) QoQ in USD terms, led by Healthcare vertical (up 7.8% QoQ). Revenue declined by 1.7% QoQ in cc terms. There was sequential improvement in EBIT margin (up 1bps QoQ) led by operating efficiency. The moderation in employee attrition continues as LTM attrition was down 130 bps QoQ to 14.2%. The near term demand environment remains challenging as the clients remain cautious regarding the evolving macroeconomic situation especially in the US and Europe; and consequently, we expect muted revenue performance in near term. We estimate revenue CAGR of 6.6% over FY23‐26E with average EBIT margin of 15.2% over the period.  Outlook We maintain our NEUTRAL rating on the stock with revised target price of Rs 505/share at 19.5x on FY26E EPS. The stock trades at PER of 20.2x/17.9x on FY25E/FY26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Wipro - 15012024 - yes","neutral, Recommendations, Wipro, Yes Securities",https://www.moneycontrol.com//news/recommendations/neutral-wipro-targetrs-505-yes-securities_17399321.html
4,W,2024-01-14T21:17:27+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/broker-research-7541/', 'name': 'Broker Research'}",Neutral Wipro; target of Rs 520: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Wipro with a target price of Rs 520 in its research report dated January 13, 2024.","Motilal Oswal's research report on Wipro WPRO reported IT Services revenue of USD2.66b in 3QFY24, down 1.7% QoQ CC, near the upper end of its guidance and 100bp ahead of our estimate. It reported an order intake of USD3.8b (flat QoQ), with large deal TCV of USD0.9b (down 8.3% QoQ). Despite four straight quarters of revenue decline, WPRO has provided muted guidance for 4Q, with USD CC revenue performance to be in the range of -1.5% to +0.5% QoQ. Despite revenue growth in 3Q, WPRO maintained its IT Services EBIT margin at 16.1% (flat QoQ), ahead of our expectation of 15.1% due to better cost control and lower employee count.  Outlook We have kept our FY24-FY26 EPS estimates broadly unchanged after its 3Q print. We maintain our Neutral stance as we view the current valuation as fair. Our TP of INR520 is based on 19x FY26E EPS. For all recommendations report,&nbsp;click here Disclaimer:&nbsp;The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Wipro - 14012024 - moti","Motilal Oswal, neutral, Recommendations, Wipro",https://www.moneycontrol.com//news/recommendations/neutral-wipro-targetrs-520-motilal-oswal_17398541.html
5,W,2024-01-12T22:53:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/moneycontrol-news-7285/', 'name': 'Moneycontrol News'}",Wipro ADRs jump 18% to near 20-month-high following Q3 results,Wipro's profit rose 1.8 percent sequentially for the December quarter,"IT services major Wipro's American Depository Receipts (ADRs) on January 12 surged almost 18 percent to hit a near-20-month high of $6.35 after the company reported its December quarter earnings.  Wipro's profit&nbsp;rose 1.8&nbsp;percent sequentially for the December quarter.  The Bengaluru-based company&nbsp;reported a 12 percent year-on-year (YoY) fall&nbsp;in net profit at Rs 2,694 crore for the third quarter of the current financial year. This profit was in-line with&nbsp;Moneycontrol&rsquo;s&nbsp;poll estimates of Rs 2,706 crore.  It&nbsp;is the&nbsp;fourth consecutive quarter wherein Wipro has reported a&nbsp;fall in profits YoY.  Consolidated revenue came in at Rs 22,205 crore, down 4.4&nbsp;percent YoY, below&nbsp;analyst estimates of Rs 22,343 crore.  The topline fell by&nbsp;1.4 percent sequentially for the December quarter.  The Bengaluru-based firm also adjusted its revenue growth guidance for the fourth quarter at both the lower and upper end. It has now guided revenue growth of -1.5 percent to 0.5 percent. This comes after the company slashed the guidance to -3.5 percent to -1.5 percent in the previous quarter.  The EBIT margin, or the operating margin, was down&nbsp;by a marginal 10 bps to&nbsp;16&nbsp;percent, impacted by a one-month wage hike and furloughs.  The company won large deals worth $0.9&nbsp;billion during the quarter, lower than $1.28 billion it won in the last quarter. Total deal wins stood at $3.8 billion, which is similar to what the company had recorded in the September quarter.  Wipro declared an interim dividend of Rs&nbsp;1 per share.  Shares of the company closed 3.88 percent higher at Rs&nbsp;465.45 apiece on the BSE on&nbsp;January 12.","earnings, Q2, Results, Wipro",https://www.moneycontrol.com//news/results/wipro-adrs-jump-18-to-near-20-month-high-following-q3-results_17398011.html
6,W,2024-01-18T07:07:08+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/reuters-6885/', 'name': 'Reuters'}",Wipro a 'bit more' optimistic about next fiscal year due to AI,"&amp;quot;Most client conversations are about cost-saving efforts and there is a conversation every time about AI,&amp;quot; Suzanne Dann said in an interview at the World Economic Forum in Davos, Switzerland.","Wipro is feeling a &amp;quot;bit more&amp;quot; optimistic about its next financial year as clients spend more on artificial intelligence (AI) to reduce operating costs, the head of the Indian IT firm's Americas 2 business told Reuters on Wednesday.  &amp;quot;Most client conversations are about cost-saving efforts and there is a conversation every time about AI,&amp;quot; Suzanne Dann said in an interview at the World Economic Forum in Davos, Switzerland.  &amp;quot;Many of them are still transforming to cloud and now they recognise the advantage of AI and add components to improve productivity.&amp;quot;  Americas 2 encompasses banking, insurance and Canada, and accounted for around 30% of Wipro's overall revenue in October-December, the third quarter of its financial year.  Wipro, India's fourth largest IT firm, is having a tough year. Last week it forecast constant currency revenue this quarter within a range of down 1.5% to up 1.5%, indicating full-year revenues could fall for the first time in three years.  In the same interview, Americas 1 CEO Srini Pallia said 2024 would be the &amp;quot;pivotal year&amp;quot; for clients implementing generative AI technology, adding growth in the AI category would probably resemble the hockey stick-shape forecast by analysts at Gartner.  Americas 1 covers retail, healthcare, transportation and Latin America, and accounts for nearly a third of Wipro's revenue.  The Times of India this month reported that three internal candidates, including Pallia and Dann, were being groomed to succeed Wipro CEO Thierry Delaporte.  Pallia dismissed this as &amp;quot;speculations&amp;quot;.  Asked about Wipro's lack of $500 million-plus mega deals this fiscal year, Pallia said some large outsourcing contracts were broken into smaller contracts won by several IT firms, adding the company had a &amp;quot;good pipeline&amp;quot;.  Wipro's Chief Growth Officer Stephanie Trautman, who headed the large deals team, resigned in December.","Business, Companies, World Economic Forum Davos",https://www.moneycontrol.com//news/business/wipro39bit-more39-optimistic-about-next-fiscal-year-due-to-ai_17403491.html
7,W,2024-01-12T15:53:04+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/team-moneycontrol-33891/', 'name': 'Team Moneycontrol'}","Wipro Q3 results: Net profit down 12% to Rs 2,694 crore in fourth consecutive quarterly decline","Wipro Q3 results: Consolidated revenue came in at Rs 22,205 crore, down 4.4 percent YoY, below analyst estimates of Rs 22,343 crore.","IT services company Wipro on January 12 reported a 12 percent year-on-year (YoY) fall&nbsp;in net profit at Rs 2,694 crore for the third quarter of the current financial year. This profit in-line&nbsp;Moneycontrol&rsquo;s&nbsp;poll estimates of Rs 2,706 crore.  This is the&nbsp;fourth consecutive quarter wherein the company has reported a&nbsp;fall in profits YoY.  Consolidated revenue came in at Rs 22,205 crore, down 4.4&nbsp;percent YoY, below&nbsp;analyst estimates of Rs 22,343 crore.  Sequentially, the bottomline rose 1.8&nbsp;percent and the topline fell by&nbsp;1.4 percent for the December quarter.  The Bengaluru-based firm also&nbsp;adjusted its revenue growth guidance for the fourth quarter at both the lower and upper end. It has now guided for a revenue growth of -1.5 percent to 0.5 percent. This comes after the company slashed the guidance to -3.5 percent to -1.5 percent in the previous quarter.  The third quarter&nbsp;is typically a weak one for IT companies due to the holiday season in the US and Europe, the biggest markets for Indian firms, with&nbsp;furloughs and fewer working days&rsquo; impacting performance.  The decline in revenue was expected primarily due to the continued weakness in the banking, financial services, and insurance (BFSI) vertical as well as the company's high exposure to consulting at a time when discretionary spending has plummeted.  Q3 is typically a weak quarter for IT companies as adverse impact from furloughs and fewer working days&rsquo; impact performance.  On Thursday, India&rsquo;s top two IT companies were off to a mixed start in Q3FY24, marked by high seasonal furloughs, fewer work days, and no immediate impact of interest rate cuts.  While Tata Consultancy Services&nbsp;posted&nbsp;a year-on-year (YoY) increase of 2 percent in net profit to Rs 11,058 crore in the quarter ended December 31, 2023, its nearest rival Infosys Ltd&nbsp;reported&nbsp;a&nbsp;7.3&nbsp;percent YoY fall in net profit at Rs&nbsp;6,106 crore in the third quarter of FY24.  In constant currency terms, topline&nbsp;decreased by&nbsp;6.9 percent YoY and 1.7 percent sequentially.  The EBIT margin or the operating margin was down&nbsp;by a marginal 10 bps to&nbsp;16&nbsp;percent, impacted by one-month wage hike and furloughs.  The company won large deals worth $0.9&nbsp;bln during the quarter, lower than $1.28 bln it won in the last quarter. Total deal wins stood at $3.8 bln, which is similar to what the company had recorded in the September quarter.  Wipro declared an interim dividend of Rs&nbsp;1 per share.  Shares of the company closed 3.88 percent higher at Rs&nbsp;465.45 apiece on BSE.","Business, Q2, Results, Wipro",https://www.moneycontrol.com//news/business/wipro-q3-results-net-profit-down-12-to-rs-2694-crorefourth-consecutive-quarterly-decline_17397671.html
8,W,2024-01-10T18:38:05+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/lovisha-darad-34111/', 'name': 'Lovisha Darad'}",Wipro Q3 revenue may fall 4% QoQ amid weak demand; wage hikes to hit margins,"Investors should watch out for Wipro&rsquo;s revenue growth guidance for Q4, deal pipeline, and client spending patterns, said analysts","Revenue for the third quarter of the current financial year at IT major Wipro Ltd is likely to fall 4 percent quarter-on-quarter (QoQ), weighed by higher than usual furloughs, particularly in the banking, financial services, and insurance (BFSI) and hi-tech verticals, said analysts. This, along with weak discretionary demand and cross-currency tailwinds in Q3 FY24, is expected to keep net profit muted. The company is scheduled to announce October-December results on January 12, 2024.  According to an average estimate of five brokerages, revenue is expected to decline 4 percent QoQ to Rs 22,408 crore. This would be worse than the far end of the management guidance band of -1.5 percent to -3.5 percent revenue growth in the quarter. On the other hand, Wipro's net profit is likely to see a drastic fall of 9 percent QoQ to Rs 2,756 crore.    Going ahead, Wipro may share -1 percent to 1 percent revenue growth guidance for Q4 FY24 in constant currency (CC) terms, said analysts.  ALSO READ:&nbsp;Infosys Earnings Preview Q3 FY24: Lower pass-through revenues, higher furloughs to drag down performance  Wipro margins hit on revenue fall, wage hikes  The muted revenue growth will also likely hit Wipro's earnings before interest, tax, depreciation, and amortisation (EBITDA). The firm&rsquo;s EBITDA is expected to remain flat at Rs 4,245 crore in Q3 FY24, compared to Rs 4,231 crore in Q2 FY24, said analysts at Axis Capital.  Further, wage hikes are likely to hit Wipro's earnings before interest and tax (EBIT) margins by 30 basis points (bps) on a QoQ basis to 16 percent in Q3 FY24 compared to 16.3 percent in Q2 FY24, as per an average of five brokerage estimates. The wage hikes were implemented from December 1 onwards. Hence, it would be a one-month impact.  ALSO READ:&nbsp;Daily Voice | Q3 updates indicate positive result trend will continue, says this investment expert  What to watch in Wipro&rsquo;s Q3 results  On the deals front, analysts at Kotak Institutional Equities said that Wipro's total contract value (TCV) and annual contract value (ACV) will remain muted in Q3 FY24 as no major deals were announced.  Meanwhile, some of the key monitorables for investors are Wipro's outlook for client IT spend in key verticals like financial services, along with geographies in Europe, TCV bookings and the likely path to translation of bookings to revenue growth, and any impact from senior-level exits in recent months, said analysts.  The Wipro stock jumped 13 percent during the October-December period, outperforming the Nifty IT index, which remained flat. However, it rose 15 percent in the last one year, sharply underperforming the IT index, which rallied 22 percent in one year.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","Buzzing Stocks, IT stocks, Nifty IT index, Wipro, Wipro Q3 earnings",https://www.moneycontrol.com//news/buzzing-stocks/wipro-q3-revenue-may-fall-4-qoq-amid-weak-demand-wage-hikes-to-hit-margins_17394711.html
9,W,2024-01-01T06:33:36+05:30,"{'@type': 'Person', 'url': 'https://www.moneycontrol.com/author/sunil-shankar-matkar-2345/', 'name': 'Sunil Shankar Matkar'}"," Chartist Talks | Why Sameet Chavan thinks Bank Nifty won't hit 50,000 in Jan, IT index may beat previous...","Irrespective of benchmark index&rsquo;s move, the IT space is likely to outperform in the near term. It has already completed its 20-month price wise as well as time wise correction phase, Sameet Chavan says.","&amp;quot;If we have to take a view for a few months, it&rsquo;s evident that the Bank Nifty will cross the 50,000 milestone, but it&rsquo;s hard to predict if it would be reached in January itself after such a steep rally in a short span,&amp;quot; Sameet Chavan, vice-president for technical and derivatives at Angel One, says in an interview to Moneycontrol.  So, with the present trend, it should not be a surprise to see the Nifty FMCG heading towards 58,000 - 59,000 in the coming week, but if it has to reach the milestone of 60,000 and beyond, the heavyweight counter ITC needs to chip in, he says.  With more than 16 years of experience in the stock market, Chavan believes that irrespective of the benchmark index&rsquo;s move, the IT space is likely to outperform in the near term. &amp;quot;We expect the IT index to reach 37,000-38,000 soon and even challenge its previous highs of 39,500.&amp;quot;&nbsp;Let's take a look at the conversation he had...  Do you expect the momentum to take the Nifty 50 beyond 22,000-23,000 in January series, though currently it looks overbought?  In such kind of strong rally, it&rsquo;s pretty difficult to judge where this momentum will start. But going by the observations, although it&rsquo;s favouring the bulls, the caution is warranted due to elevated levels, indicated by overbought indicators and prices deviating significantly from key moving averages.  Hence, upcoming sessions would be crucial, with the market now focusing on the pre-Budget move (interim budget) after recent positive developments. Hence, rather than being vocal on any levels, it&rsquo;s advisable to stay focused on how market behave in the first half of January.  Also read:&nbsp;Despite 20% rally in 2023, this CIO won't call it a very overvalued market, advises to focus on these 4 sectors  Do you expect the Bank Nifty to surpass 50,000 in the January series?  The commentary remains same for this high beta index as well. If we have to take a view for few months, it&rsquo;s evident that Bank Nifty will cross the milestone of 50,000; but it&rsquo;s hard to pre-empt meeting it in January after such a steep rally in a short span.  Are the charts telling you that the Nifty FMCG index is marching towards 60,000 in the next couple of months?  Top five constituents in Nifty FMCG are ITC, Hindustan Unilever, Nestle, Britannia Industries and Tata Consumer Products, which hold a weightage of nearly 73 percent. Barring ITC, all others are in a strong momentum at this juncture, indicating possibility of this index extending its gains in the coming series as well.  Also read:&nbsp;Demand uptick, easing inflation in developed markets to provide silver lining for exports in 2024  So, with the ongoing trend, we will not be surprised to see the Nifty FMCG index heading towards 58,000 - 59,000 in the coming week. But if it has to reach the milestone of 60,000 and beyond, the heavyweight counter ITC needs to chip in. It has a weightage of nearly 31 percent and hence, will provide the much-needed impetus to reach new heights.  Your top 2 picks for January that has seen strong breakout signal recently?  The entire IT space finally found its mojo after a long slumber phase. Most of the frontline as well as midcap counters have already moved a quite bit in recent months. But now it&rsquo;s time for &lsquo;Wipro&rsquo; to outshine. The stock has already confirmed its multi-month breakout last week. We expect price targets of Rs 498-510 in the coming series. One can look to buy on a decline with stop-loss around Rs 448.  From the broader market, we like KRBL as it has started to show early signs of revival. Prices have confirmed a price volume breakout on Friday, we like it for a target of Rs 398 and stop-loss at Rs 362.  Do you think the Nifty IT has seen consolidation before entering into another leg of upward journey towards 37,000-38,000 levels in coming weeks?  In our sense, irrespective of benchmark index&rsquo;s move, the IT space is likely to outperform in the near term. It has already completed its 20-month price wise as well as time wise correction phase.  Hence, in case of any minor consolidation or smaller declines, it would offer excellent buying opportunity to buy into this pocket. Soon, we expect the IT index reach 37,000-38,000 levels and even challenging its previous highs around 39,500 cannot be rule out.  Also read:&nbsp;What the new year holds for Indian markets?  Will the major downward move be looking unlikely in Nifty Auto index in 2024 after looking at the chart structure?  Auto has been one of the few sectors who initiated this Bull Run last year. Since then, there has been no stopping for this for this space. In fact, Auto sector is considered as a barometer of country&rsquo;s economy, demonstrates the robust growth.  Despite this being in a strong momentum, one should avoid being complacent at current levels. Technically, the daily chart exhibits a &lsquo;Negative Divergence&rsquo; in &lsquo;RSI-Smoothened&rsquo; oscillator. Hence, any time we could see some breather in this rank outperformer before unfolding the next leg of the rally.  Do you see major breakout in Hindustan Unilever soon after reading its charts?  Overall, this stock has done nothing since last couple of years; but now we are seeing some early signs of revival. On the smaller time frame charts, prices are gaining strength day-by-day and importantly, it has managed to surpass its intermediate hurdle of Rs 2,640 on a closing basis. With FMCG index trading at record highs, this stock needs to catch up now and there is high possibility that we would see this stock breaking the shackles in coming days.  Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.","interview, MARKET OUTLOOK, Nifty, Sensex, Technicals",https://www.moneycontrol.com//news/technicals/chartist-talks-|-why-sameet-chavan-thinks-bank-nifty-won39t-hit-50000jan-it-index-may-beat-previous-high_17384261.html
