,head,type,tail
0,Bharati Defence,inception,"February 14, 2017"
1,Bharati Defence,"dissolved, abolished or demolished date","February 14, 2017"
2,Bharati Defence's,inception,"February 14, 2017"
3,Bharati Defence and Infrastructure,inception,"November 14, 2016"
4,Bharati Defence and Infrastructure,"dissolved, abolished or demolished date","November 14, 2016"
5,Bharati Defence and Infrastructure's,inception,"November 14, 2016"
6,Bharati Defence and Infrastructure,inception,"August 13, 2016"
7,Bharati Defence and Infrastructure,"dissolved, abolished or demolished date","August 13, 2016"
8,Bharati Defence and Infrastructure's,inception,"August 13, 2016"
9,bidding war,industry,ship-builders
10,bidding war,industry,ship-builder
11,messy bidding war,industry,ship-builders
12,Bharati Shipyard,instance of,shipyard
13,Bharati Shipyard,significant event,board meeting
14,Bharati Shipyard,has part,board meeting
15,Bharati Shipyard,instance of,net loss
16,Bharati Shipyard,significant event,Q2 net loss
17,Bharati Shipyard,"dissolved, abolished or demolished date",Q2
18,Bharati Shipyard loan,publisher,Edelweiss
19,Bharati Shipyard loan,author,Edelweiss
20,Bharati Shipyard loan,owned by,Edelweiss
21,Bharati Shipyard,industry,defence
22,Bharati Shipyard,product or material produced,defence
23,Bharati Shipyard,instance of,shipyard
24,BharatiShipyard,inception,"July 31, 2015"
25,BharatiShipyard,instance of,shipyard
26,Bharati Shipyard,inception,"July 31, 2015"
27,women directors,conferred by,Sebi
28,Sebi,has part,directors
29,Sebi,field of work,women directors
30,Bharati Shipyard,owned by,Shakti Sharma
31,Shakti Sharma,employer,Bharati Shipyard
32,Bharati Shipyard,chairperson,Shakti Sharma
33,Bharati Shipyard,"dissolved, abolished or demolished date","March 30, 2015"
34,Bharati Shipyard,inception,"March 30, 2015"
35,Bharati Shipyard,end time,"March 30, 2015"
36,Bharati Shipyard,"dissolved, abolished or demolished date","February 26, 2015"
37,Bharati Shipyard,inception,"February 26, 2015"
38,Bharati Shipyard,end time,"February 26, 2015"
39,Bharati Shipyard,significant event,EGM
40,Bharati Shipyard,participant in,EGM
41,Bharati Shipyard,has effect,EGM
42,Bharati Shipyard,"dissolved, abolished or demolished date","Sept 07, 2014"
43,Bharati Shipyard,"dissolved, abolished or demolished date",2013
44,Bharati Shipyard,inception,"Sept 07, 2014"
45,BharatiShipyard,industry,12.67 crore
46,BharatiShipyard,revenue stream,12.67 crore
47,BharatiShipyard,end time,Dec '13
