,head,type,tail
0,Empee Distilleries,instance of,Limited
1,Empee Distilleries Limited,manufacturer,Empee Distilleries Limited
2,Empee Distilleries Limited,owned by,Empee Distilleries Limited
3,Empee Distilleries,inception,"August 21, 2017"
4,Empee Distilleries,"dissolved, abolished or demolished date","August 21, 2017"
5,Empee Distilleries,end time,"August 21, 2017"
6,Empee Distilleries,instance of,board meeting
7,Empee Distilleries,significant event,board meeting
8,Empee Distilleries,participant in,board meeting
9,Empee Distilleries,inception,"March 15, 2017"
10,Empee Distilleries,"dissolved, abolished or demolished date","March 15, 2017"
11,Empee Distilleries,end time,"March 15, 2017"
12,Empee Distilleries,inception,"Feb 23, 2017"
13,Empee Distilleries,inception,"February 23, 2017"
14,Empee Distilleries,inception,2017
15,Empee Distilleries,instance of,board meeting
16,Empee Distilleries,significant event,board meeting
17,Empee Distilleries,participant in,board meeting
18,Empee Distilleries,inception,"Feb 13, 2017"
19,Empee Distilleries,inception,"February 13, 2017"
20,Empee Distilleries,inception,2017
21,Empee Distilleries,participant in,EGM
22,Empee Distilleries,member of,EGM
23,Empee Distilleries,facet of,EGM
24,Empee Distilleries,inception,"January 19, 2017"
25,Empee Distilleries,"dissolved, abolished or demolished date","January 19, 2017"
26,Empee Distilleries,end time,"January 19, 2017"
27,Empee Distilleries,instance of,board meeting
28,Empee Distilleries,significant event,board meeting
29,Empee Distilleries,participant in,board meeting
30,Empee Distilleries,inception,"August 11, 2016"
31,Empee Distilleries,"dissolved, abolished or demolished date","August 11, 2016"
32,Empee Distilleries,end time,"August 11, 2016"
33,Empee Distilleries,owned by,Shaji Purushothaman
34,Empee Distilleries,founded by,Shaji Purushothaman
35,Empee Distilleries,director,Shaji Purushothaman
36,Empee Distilleries,inception,"May 30, 2016"
37,Empee Distilleries,"dissolved, abolished or demolished date","May 30, 2016"
38,Empee Distilleries,end time,"May 30, 2016"
39,Empee Distilleries,instance of,board meeting
40,Empee Distilleries,significant event,board meeting
41,Empee Distilleries,participant in,board meeting
42,Empee Distilleries,instance of,board meeting
43,Empee Distilleries,significant event,board meeting
44,Empee Distilleries,participant in,board meeting
45,Empee Power,parent organization,Empee Distilleries
46,Empee Power,parent organization,Empee Distilleries
47,Empee Distilleries,subsidiary,Empee Power
48,Empee Power,owned by,Empee Distilleries
49,Empee Power,parent organization,Empee Distilleries
50,Empee Power,parent organization,Empee Distilleries
51,Empee Distilleries,subsidiary,Empee Power
52,Empee Power,owned by,Empee Distilleries
53,Empee Distilleries,office held by head of the organization,CO
54,Sangeetha Sekar,employer,Empee Distilleries
55,Empee Distilleries,chairperson,CO Sangeetha Sekar
56,Empee Distilleries,instance of,board meeting
57,Empee Distilleries,significant event,board meeting
58,Empee Distilleries,participant in,board meeting
59,Empee Distilleries,inception,"Oct 25, 2014"
60,Empee Distilleries,inception,2014
61,Empee Distilleries,inception,Oct. 2014
