,head,type,tail
0,Lakshmi Precision Screws,instance of,board meeting
1,Lakshmi Precision Screws,significant event,board meeting
2,Lakshmi Precision Screws,has part,board meeting
3,Lakshmi Precision Screws,inception,"August 11, 2017"
4,Lakshmi Precision Screws,"dissolved, abolished or demolished date","August 11, 2017"
5,Lakshmi Precision Screws,end time,"August 11, 2017"
6,Lakshmi Precision Screws,instance of,dividend
7,Lakshmi Precision Screws,instance of,dividend
8,Lakshmi Precision Screws,industry,dividend
9,Lakshmi Precision Screws,inception,"June 20, 2017"
10,Lakshmi Precision Screws,"dissolved, abolished or demolished date","June 20, 2017"
11,Lakshmi Precision Screws,end time,"June 20, 2017"
12,Lakshmi Precision Screws,inception,"May 30, 2017"
13,Lakshmi Precision Screws,"dissolved, abolished or demolished date","May 30, 2017"
14,Lakshmi Precision Screws,end time,"May 30, 2017"
15,Lakshmi Precision Screws,inception,"Feb 25, 2017"
16,Lakshmi Precision Screws,"dissolved, abolished or demolished date","Feb 25, 2017"
17,Lakshmi Precision Screws,end time,"Feb 25, 2017"
18,Lakshmi Precision Screws,inception,"February 14, 2017"
19,Lakshmi Precision Screws,"dissolved, abolished or demolished date","February 14, 2017"
20,Lakshmi Precision Screws,end time,"February 14, 2017"
21,Lakshmi Precision Screws,instance of,board meeting
22,Lakshmi Precision Screws,significant event,board meeting
23,Lakshmi Precision Screws,has part,board meeting
24,Lakshmi Precision Screws,"dissolved, abolished or demolished date","December 30, 2016"
25,Lakshmi Precision Screws,inception,"December 30, 2016"
26,Lakshmi Precision Screws,end time,"December 30, 2016"
27,Lakshmi Precision,inception,"August 27, 2016"
28,Lakshmi Precision,"dissolved, abolished or demolished date","August 27, 2016"
29,Lakshmi Precision,end time,"August 27, 2016"
30,Lakshmi Precision Screws,inception,"August 13, 2016"
31,Lakshmi Precision Screws,"dissolved, abolished or demolished date","August 13, 2016"
32,Lakshmi Precision Screws,end time,"August 13, 2016"
33,Lakshmi Precision Screws,office held by head of the organization,director
34,Lakshmi Precision Screws,position held,director
35,Lakshmi Precision Screws,occupation,director
36,Lakshmi Precision Screws,instance of,board meeting
37,Lakshmi Precision Screws,significant event,board meeting
38,Lakshmi Precision Screws,has part,board meeting
39,Lakshmi Precision Screws,instance of,board meeting
40,Lakshmi Precision Screws,significant event,board meeting
41,Lakshmi Precision Screws,has part,board meeting
42,Lakshmi Precision Screws,headquarters location,CO
43,Lakshmi Precision Screws,owned by,Santosh Kumar
44,Lakshmi Precision Screws,country,CO
45,Lakshmi Precision Screws,inception,"November 13, 2015"
46,Lakshmi Precision Screws,"dissolved, abolished or demolished date","November 13, 2015"
47,Lakshmi Precision Screws,end time,"November 13, 2015"
48,Lakshmi Precision Screws,owned by,Ajay Kumar Chakraborty
49,Lakshmi Precision Screws,chairperson,Ajay Kumar Chakraborty
50,Lakshmi Precision Screws,founded by,Ajay Kumar Chakraborty
51,Lakshmi Precision Screws,significant event,AGM
52,Lakshmi Precision Screws,has part,AGM
53,Lakshmi Precision Screws,participant in,AGM
54,Lakshmi Precision Screws,instance of,AGM
55,Lakshmi Precision Screws,significant event,AGM
56,Lakshmi Precision Screws,has part,AGM
57,Lakshmi Precision Screws,owned by,Tarun Kumar
58,Lakshmi Precision Screws,chairperson,Tarun Kumar
59,Tarun Kumar,employer,Lakshmi Precision Screws
