,head,type,tail
0,Rasoya Proteins,owned by,Sneha Shrivastava
1,Sneha Shrivastava,employer,Rasoya Proteins
2,Rasoya Proteins,chairperson,Sneha Shrivastava
3,Rasoya Proteins,inception,"November 12, 2016"
4,Rasoya Proteins,"dissolved, abolished or demolished date","November 12, 2016"
5,Rasoya Proteins,end time,"November 12, 2016"
6,Rasoya Proteins,instance of,AGM
7,Rasoya Proteins,significant event,AGM
8,Rasoya Proteins,has part,AGM
9,Rasoya Proteins,inception,"May 30, 2016"
10,Rasoya Proteins,"dissolved, abolished or demolished date","May 30, 2016"
11,Rasoya Proteins,end time,"May 30, 2016"
12,Rasoya Protein,industry,19.40 crore
13,Rasoya Protein,revenue level,19.40
14,Rasoya Protein,revenue stream,19.40 crore
15,Rasoya Protein,owned by,Ramakant Laxmanrao Labhe
16,Rasoya Protein,founded by,Ramakant Laxmanrao Labhe
17,Rasoya Protein,owned by,Ramakant Laxmanrao Labhe
18,Ramakant Laxmanrao Labhe,owner of,Rasoya Protein
19,Rasoya Protein,industry,30.95 crore
20,Rasoya Protein,revenue level,30.95
21,Rasoya Protein,revenue stream,30.95 crore
22,Rasoya Proteins,inception,"November 06, 2015"
23,Rasoya Proteins,inception,"November 6, 2015"
24,Rasoya Proteins,"dissolved, abolished or demolished date","November 06, 2015"
25,Rasoya Proteins,significant event,AGM
26,Rasoya Proteins,has part,AGM
27,Rasoya Proteins,participant in,AGM
28,Rasoya Proteins,instance of,AGM
29,Rasoya Proteins,significant event,AGM
30,Rasoya Proteins,has part,AGM
31,Rasoya Protein,industry,16.64 crore
32,Rasoya Protein,revenue,16.64
33,Rasoya Protein,revenue stream,16.64 crore
34,Rasoya Proteins,instance of,board meeting
35,Rasoya Proteins,has part,board meeting
36,Rasoya Proteins,participant in,board meeting
37,Rasoya Proteins,inception,"August 14, 2015"
38,Rasoya Proteins,"dissolved, abolished or demolished date","August 14, 2015"
39,Rasoya Proteins,end time,"August 14, 2015"
40,Rasoya Protein,industry,54.26 crore
41,Rasoya Protein,inception,Mar '15
42,Rasoya Protein,revenue stream,54.26 crore
43,Rasoya Protein,industry,177.94 crore
44,Rasoya Protein,industry,Rs 177.94 crore
45,Rasoya Protein,revenue,Rs 177.94 crore
46,Rasoya Protein,inception,Sep '14
47,Rasoya Protein,industry,122.21 crore
48,Rasoya Protein,revenue level,122.21
49,Rasoya Proteins,inception,"November 14, 2014"
50,Rasoya Proteins,end time,"November 14, 2014"
51,Rasoya Proteins,significant event,Q2 results
52,Q2 results,organizer,Rasoya Proteins
53,Rasoya Proteins,instance of,board meeting
54,Rasoya Proteins,has part,board meeting
55,Rasoya Proteins,participant in,board meeting
56,Rasoya Proteins,inception,"Sept 11, 2014"
57,Rasoya Proteins,inception,2014
58,Rasoya Proteins,inception,"September 11, 2014"
59,Rasoya Proteins,maintained by,CARE
60,Rasoya Proteins,affiliation,CARE
61,Rasoya Proteins,member of,CARE
