,head,type,tail
0,Maruti Suzuki,country,India
1,Maruti Suzuki India,country,India
2,Maruti Suzuki India,owned by,Emkay Global Financial
3,Ertiga,manufacturer,Maruti Suzuki
4,Maruti Suzuki Ertiga,significant event,10 lakh sales mark
5,Maruti Suzuki Ertiga,follows,Ertiga
6,Ertiga,followed by,Maruti Suzuki Ertiga
7,Maruti Suzuki,owned by,Motilal Oswal
8,Maruti Suzuki,country,India
9,Maruti Suzuki,owned by,Maruti Suzuki
10,Maruti Suzuki,country,India
11,Maruti Suzuki India,country,India
12,Maruti Suzuki India,owned by,Sharekhan
13,Maruti Suzuki,country,India
14,Maruti Suzuki,owned by,Maruti Suzuki
15,Maruti Suzuki,parent organization,Maruti Suzuki
16,Total sales,manufacturer,Maruti Suzuki
17,Maruti Suzuki,"dissolved, abolished or demolished date",December 2023
18,Maruti Suzuki,end time,December 2023
19,Suzuki Motor Gujarat,located in the administrative territorial entity,Gujarat
20,Suzuki Motor Gujarat,operating area,Gujarat
21,Suzuki Motor Gujarat,industry,3 million cumulative production
22,November,point in time,November
23,sales,manufacturer,Maruti Suzuki
24,Maruti Suzuki,point in time,November
25,Maruti Suzuki,point in time,October
26,Maruti Suzuki,industry,sales
27,Maruti Suzuki,significant event,"1,99,217 units in October"
28,"1,99,217 units in October",manufacturer,Maruti Suzuki
29,Maruti Suzuki,chairperson,RC Bhargava
30,Maruti Suzuki,chairperson,RC Bhargava
31,RC Bhargava,employer,Maruti Suzuki
32,RC Bhargava,employer,Maruti Suzuki
33,India,member of,G20
34,RC Bhargava,member of,G20
35,RC Bhargava,participant in,G20
36,Maruti Suzuki,product or material produced,SUV
37,Maruti Suzuki,follows,M&amp;amp;M
38,Maruti Suzuki,parent organization,M&amp;amp;M
39,Arnab Roy,employer,Maruti Suzuki
40,Arnab Roy,occupation,CFO
41,Arnab Roy,employer,Maruti Suzuki
42,Arnab Roy,occupation,CFO
43,Maruti Suzuki,subsidiary,Maruti Suzuki
44,Maruti Suzuki,subsidiary,Suzuki Suzuki
45,Suzuki Suzuki,parent organization,Maruti Suzuki
46,Maruti Suzuki,parent organization,Suzuki Suzuki
47,Q1 Results,publisher,Jefferies
48,Jefferies,notable work,Q1 Results
49,Q1 Results,organizer,Jefferies
50,Suzuki Motor Corp,owner of,Maruti
51,Maruti,owned by,Suzuki Motor Corp
52,Suzuki Motor Corp,subsidiary,Maruti
53,Maruti,parent organization,Suzuki Motor Corp
54,Maruti,parent organization,Suzuki Motor Corp
55,Maruti Suzuki,country,India
56,Maruti Suzuki,owned by,Maruti Suzuki
57,Maruti Suzuki,owned by,Motilal Oswal
58,Maruti Suzuki,country,India
59,Maruti Suzuki India,country,India
60,Maruti Suzuki India,owned by,Sharekhan
61,Maruti Suzuki,country,India
62,Maruti Suzuki,owned by,Maruti Suzuki
63,Maruti Suzuki,parent organization,Maruti Suzuki
64,Maruti Suzuki,owned by,HDFC Securities
65,Maruti Suzuki,stock exchange,HDFC Securities
66,Maruti Suzuki,owned by,Maruti Suzuki
