,head,type,tail
0,Rainbow Papers,main subject,board meeting
1,Rainbow Papers,instance of,board meeting
2,Rainbow Papers,has part,board meeting
3,Rainbow Papers,main subject,board meeting
4,Rainbow Papers,instance of,board meeting
5,Rainbow Papers,has part,board meeting
6,Rainbow Papers,inception,"August 12, 2017"
7,Rainbow Papers,end time,"August 12, 2017"
8,Rainbow Papers,point in time,"August 12, 2017"
9,Rainbow Papers,main subject,board meeting
10,Rainbow Papers,instance of,board meeting
11,Rainbow Papers,has part,board meeting
12,Rainbow Papers,instance of,AGM
13,Rainbow Papers,significant event,AGM
14,Rainbow Papers,has part,AGM
15,Rainbow Papers,main subject,board meeting
16,Rainbow Papers,instance of,board meeting
17,Rainbow Papers,has part,board meeting
18,Rainbow Papers,main subject,board meeting
19,Rainbow Papers,instance of,board meeting
20,Rainbow Papers,has part,board meeting
21,Rainbow Papers,inception,"June 07, 2016"
22,Rainbow Papers,end time,"June 07, 2016"
23,Rainbow Papers,inception,"June 7, 2016"
24,Rainbow Papers,main subject,board meeting
25,Rainbow Papers,instance of,board meeting
26,Rainbow Papers,has part,board meeting
27,Rainbow Papers,industry,69.78 crore
28,Rainbow Papers,revenue stream,69.78 crore
29,Rainbow Papers,revenue,69.78 crore
30,Rainbow Papers,inception,"Jan 16, 2016"
31,Rainbow Papers,publisher,Rainbow Papers
32,Rainbow Papers,owned by,Rainbow Papers
33,Rainbow Papers,inception,Sep '15
34,Rainbow Papers,revenue stream,92.09 crore
35,Rainbow Papers,industry,92.09 crore
36,Rainbow Papers,main subject,board meeting
37,Rainbow Papers,instance of,board meeting
38,Rainbow Papers,has part,board meeting
39,Rainbow Papers,instance of,revenue
40,Rainbow Papers,inception,Jun '15
41,Rainbow Papers,industry,Rs 215.74 crore
42,Rainbow Papers,inception,"August 12, 2015"
43,Rainbow Papers,end time,"August 12, 2015"
44,Rainbow Papers,publication date,"August 12, 2015"
45,Rainbow Papers,main subject,board meeting
46,Rainbow Papers,instance of,board meeting
47,Rainbow Papers,has part,board meeting
48,Rainbow Papers,inception,Mar '15
49,Rainbow Papers,end time,Mar '15
50,Rainbow Papers,industry,Rs 238.90 crore
51,Rainbow Papers,instance of,revenue
52,Rainbow Papers,end time,Dec '14
53,Rainbow Papers,inception,Dec '14
54,Rainbow Papers,end time,Dec '13
55,Rainbow Papers,inception,Dec '13
56,Rainbow Papers,industry,Rs 291.46 crore
57,Rainbow Papers,main subject,board meeting
58,Rainbow Papers,instance of,board meeting
59,Rainbow Papers,has part,board meeting
