,head,type,tail
0,Shilpi Cable Technologies,instance of,board meeting
1,Shilpi Cable Technologies,significant event,board meeting
2,Shilpi Cable Technologies,participant in,board meeting
3,Shilpi Cable Technologies,significant event,board meeting
4,Shilpi Cable Technologies,participant in,board meeting
5,Shilpi Cable Technologies,instance of,board meeting
6,Shilpi Cable,instance of,board meeting
7,Shilpi Cable,significant event,board meeting
8,Shilpi Cable,has part,board meeting
9,Exit Shilpi Cable Technologies,founded by,Prakash Gaba
10,Exit Shilpi Cable Technologies,owned by,Prakash Gaba
11,Prakash Gaba,employer,Exit Shilpi Cable Technologies
12,Shilpi Cable Technologies,industry,Bonus Issue
13,Shilpi Cable Technologies,product or material produced,Bonus Issue
14,Shilpi Cable Technologies,owner of,Bonus Issue
15,Bonus Issue,owned by,Shilpi Cable Technologies
16,Vikas Gupta,employer,Shilpi Cable
17,Shilpi Cable,owned by,Vikas Gupta
18,Shilpi Cable,chairperson,Vikas Gupta
19,Shilpi Cable Technologies,instance of,board meeting
20,Shilpi Cable Technologies,industry,Cable Technologies
21,Shilpi Cable Technologies,significant event,board meeting
22,Shilpi Cable Technologies,significant event,board meeting
23,Shilpi Cable Technologies,participant in,board meeting
24,Shilpi Cable Technologies,instance of,board meeting
25,Shilpi Cable Technologies,owned by,Ravi Shankar
26,Ravi Shankar,employer,Shilpi Cable Technologies
27,Shilpi Cable Technologies,chairperson,Ravi Shankar
28,Shilpi Cable Tech,revenue stream,62.43 crore
29,Shilpi Cable Tech,revenue,62.43 crore
30,Shilpi Cable Tech,net profit,62.43 crore
31,Malika Gupta,employer,Shilpi Cable Technologies
32,Shilpi Cable Technologies,owned by,Malika Gupta
33,Shilpi Cable Technologies,chairperson,Malika Gupta
34,Sneha Modi,employer,Shilpi Cable Technologies
35,Shilpi Cable Technologies,owned by,Sneha Modi
36,Shilpi Cable Technologies,chairperson,Sneha Modi
37,Shilpi Cable,country,UAE
38,UAE,owner of,Shilpi Cable
39,Shilpi Cable,headquarters location,UAE
40,Shilpi Cable Technologies,significant event,board meeting
41,Shilpi Cable Technologies,participant in,board meeting
42,Shilpi Cable Technologies,instance of,board meeting
43,Shilpi Cable,industry,976.34 crore
44,Shilpi Cable,revenue stream,976.34 crore
45,Shilpi Cable,end time,Dec '15
46,Shilpi Cable,industry,822.35 crore
47,Shilpi Cable,revenue stream,822.35 crore
48,Shilpi Cable,inception,Sep '15
49,Shilpi Cable,loss,Q2 profit
50,Shilpi Cable,significant event,Q2 profit
51,Shilpi Cable,loss,Q2 profit shrinks 33% to Rs 27 cr
52,Shilpi Cables,parent organization,Shilpi Cable Technologies
53,Shilpi Cable Technologies,parent organization,Shilpi Cables
54,Shilpi Cable Technologies,subsidiary,Shilpi Cables
55,Shilpi Cables,parent organization,Shilpi Cable Technologies
56,Shilpi Cable Technologies,inception,"Oct 13, 2015"
57,Shilpi Cable Technologies,inception,"October 13, 2015"
58,Shilpi Cable Technologies,owned by,Shilpi Cable Technologies
59,Shilpi Cable Technologies,parent organization,Eyecom Telecommunications Equipments
60,Shilpi Cable Technologies,parent organization,Eyecom Telecommunications Equipments
61,Eyecom Telecommunications Equipments,subsidiary,Shilpi Cable Technologies
62,Shilpi Cable Technologies,instance of,JV
