,head,type,tail
0,Surana Industries,inception,"November 09, 2017"
1,Surana Industries,"dissolved, abolished or demolished date","November 09, 2017"
2,Surana Industries,end time,"November 09, 2017"
3,Surana Industries,instance of,AGM
4,Surana Industries,significant event,AGM
5,Surana Industries,has effect,AGM
6,Surana Industries,inception,"August 10, 2017"
7,Surana Industries,"dissolved, abolished or demolished date","August 10, 2017"
8,Surana Industries,end time,"August 10, 2017"
9,Surana Industries,inception,"February 10, 2017"
10,Surana Industries,"dissolved, abolished or demolished date","February 10, 2017"
11,Surana Industries,end time,"February 10, 2017"
12,Surana Industries,instance of,board meeting
13,Surana Industries,significant event,board meeting
14,Surana Industries,has part,board meeting
15,Surana Industries,"dissolved, abolished or demolished date","December 14, 2016"
16,Surana Industries,inception,"December 14, 2016"
17,Surana Industries,end time,"December 14, 2016"
18,Surana Industries,owned by,Krishna Udupa
19,Surana Industries,chairperson,Krishna Udupa
20,Surana Industries,founded by,Krishna Udupa
21,Surana Industries,significant event,board meeting
22,Surana Industries,instance of,board meeting
23,Surana Industries,has part,board meeting
24,Surana Industries,inception,"March 14, 2016"
25,Surana Industries,headquarters location,Mumbai
26,Surana Industries,start time,"March 14, 2016"
27,Surana Industries,inception,"February 11, 2016"
28,Surana Industries,"dissolved, abolished or demolished date","February 11, 2016"
29,Surana Industries,end time,"February 11, 2016"
30,Surana Industries,inception,"November 07, 2015"
31,Surana Industries,"dissolved, abolished or demolished date","November 07, 2015"
32,Surana Industries,end time,"November 07, 2015"
33,Surana Industries,significant event,AGM
34,Surana Industries,instance of,AGM
35,Surana Industries,has part,AGM
36,Surana Industries,significant event,board meeting
37,Surana Industries,instance of,board meeting
38,Surana Industries,has part,board meeting
39,Surana Industries,inception,"August 10, 2015"
40,Surana Industries,point in time,"August 10, 2015"
41,Surana Industries,"dissolved, abolished or demolished date","August 10, 2015"
42,Surana Industries,owned by,Soundharya Panchapakesan
43,Soundharya Panchapakesan,employer,Surana Industries
44,Surana Industries,founded by,Soundharya Panchapakesan
45,Surana Industries,founded by,G. R. Surana
46,Surana Industries,owned by,G. R. Surana
47,Surana Industries,chairperson,G. R. Surana
48,Surana Industries,significant event,board meeting
49,Surana Industries,instance of,board meeting
50,Surana Industries,has part,board meeting
51,Surana Industries,owned by,B. S. Patil
52,Surana Industries,chairperson,B. S. Patil
53,Surana Industries,founded by,B. S. Patil
54,Surana Industries,significant event,board meeting
55,Surana Industries,instance of,board meeting
56,Surana Industries,has part,board meeting
57,Surana Industries,owned by,D Hem Senthil Raj
58,Surana Industries,office held by head of the organization,Company Secretary
59,Surana Industries,instance of,CO
