,head,type,tail
0,Tantia Constructions,instance of,board meeting
1,Tantia Constructions,significant event,board meeting
2,Tantia Constructions,has part,board meeting
3,Tantia Constructions,inception,"September 13, 2017"
4,Tantia Constructions,"dissolved, abolished or demolished date","September 13, 2017"
5,Tantia Constructions,end time,"September 13, 2017"
6,Tantia Constructions,inception,"November 11, 2016"
7,Tantia Constructions,"dissolved, abolished or demolished date","November 11, 2016"
8,Tantia Constructions,end time,"November 11, 2016"
9,Tantia Constructions,inception,"August 13, 2016"
10,Tantia Constructions,"dissolved, abolished or demolished date","August 13, 2016"
11,Tantia Constructions,end time,"August 13, 2016"
12,Tantia Constructions,instance of,board meeting
13,Tantia Constructions,significant event,board meeting
14,Tantia Constructions,has part,board meeting
15,Tantia Constructions,instance of,board meeting
16,Tantia Constructions,significant event,board meeting
17,Tantia Constructions,has part,board meeting
18,Tantia Constructions,instance of,board meeting
19,Tantia Constructions,significant event,board meeting
20,Tantia Constructions,has part,board meeting
21,Tantia Constructions,inception,"November 14, 2015"
22,Tantia Constructions,"dissolved, abolished or demolished date","November 14, 2015"
23,Santia Constructions,inception,"November 14, 2015"
24,Tantia Constructions,instance of,AGM
25,Tantia Constructions,significant event,AGM
26,Tantia Constructions,has part,AGM
27,Tantia Constructions,instance of,board meeting
28,Santia Constructions,instance of,board meeting
29,Tantia Constructions,has part,board meeting
30,Tantia Constructions,instance of,board meeting
31,Tantia Constructions,significant event,board meeting
32,Tantia Constructions,has part,board meeting
33,Jamshed Alam,employer,Tantia Constructions
34,Tantia Constructions,owned by,Md. Jamshed Alam
35,Tantia Constructions,owned by,Jamshed Alam
36,Tantia Const,end time,Dec '13
37,Tantia Const,inception,Dec '13
38,Tantia Const,revenue stream,Rs 217.86 crore
39,Tantia Const,inception,Sep '13
40,Tantia Const,end time,Sep '13
41,Tantia Const,revenue stream,114.83 crore
42,2013,point in time,2013
43,Tantia,industry,Constructions
44,Tantia Constructions,industry,construction
45,Tantia Constructions,owned by,H. S. Sinha
46,Tantia Constructions,chairperson,H. S. Sinha
47,Santia Constructions,owned by,H. S. Sinha
48,Tantia Constructions,instance of,board meeting
49,Tantia Constructions,significant event,board meeting
50,Tantia Constructions,has part,board meeting
51,Tantia Const,inception,Jun '13
52,Tantia Const,end time,Jun '13
53,Tantia Const,point in time,Jun '13
54,2013,point in time,2013
55,2012,point in time,2012
56,2014,point in time,2014
57,Tantia Constructions,instance of,equity shares
58,Tantia Constructions,stock exchange,16 lakh equity shares
59,Tantia Constructions,award received,16 lakh equity shares
